driver_number,lap_number,lap_time_seconds,duration_sector_1,duration_sector_2,duration_sector_3,is_pit_out_lap,lap_time_formatted
81,10,640.731,,50.05,31.303,true,10:40.730
10,11,154.953,46.987,61.371,46.595,false,2:34.953
77,11,95.49,28.024,40.221,27.245,false,1:35.489
24,10,850.951,,48.589,30.873,true,14:10.951
22,12,524.351,,52.228,33.133,true,8:44.350
55,10,782.742,,54.494,32.386,true,13:02.741
18,10,96.166,27.921,41.056,27.189,false,1:36.165
20,9,95.006,27.883,39.938,27.185,false,1:35.006
27,8,1016.956,,50.839,34.869,true,16:56.956
81,11,95.695,27.726,40.785,27.184,false,1:35.694
77,12,125.166,36.94,53.617,34.609,false,2:05.165
16,12,570.776,,56.906,39.951,true,9:30.775
40,13,550.13,,61.919,46.611,true,9:10.129
2,11,604.895,,57.883,44.375,true,10:04.894
14,13,172.204,85.851,51.75,34.603,true,2:52.204
11,11,738.147,,67.807,43.853,true,12:18.147
24,11,95.793,28.13,40.477,27.186,false,1:35.793
1,9,929.091,,61.553,39.28,true,15:29.091
4,11,767.65,,54.049,36.013,true,12:47.649
10,12,161.178,66.307,58.583,36.288,true,2:41.177
18,11,141.983,47.258,59.92,34.805,false,2:21.983
22,13,119.747,27.689,57.692,34.366,false,1:59.746
20,10,168.852,46.947,71.413,50.492,false,2:48.852
81,12,148.749,42.442,66.116,40.191,false,2:28.748
63,13,554.835,,74.014,48.844,true,9:14.835
55,11,169.119,42.724,78.08,48.315,false,2:49.118
44,10,841.488,,68.14,56.172,true,14:01.488
27,9,133.05,27.863,59.058,46.129,false,2:13.050
77,13,127.678,27.872,65.173,34.633,false,2:07.677
24,12,145.71,39.568,56.464,49.678,false,2:25.710
14,14,119.051,28.512,48.225,42.314,false,1:59.051
16,13,141.91,27.499,59.545,54.866,false,2:21.909
2,12,130.031,28.028,48.939,53.064,false,2:10.031
40,14,134.096,28.201,60.187,45.708,false,2:14.096
11,12,131.547,27.628,60.785,43.134,false,2:11.546
4,12,132.333,34.672,57.669,39.992,false,2:12.332
1,10,147.255,27.614,71.197,48.444,false,2:27.254
22,14,146.573,27.635,67.683,51.255,false,2:26.573
10,13,144.241,27.906,67.601,48.734,false,2:24.241
18,12,135.739,27.882,55.557,52.3,false,2:15.739
20,11,147.494,48.614,64.35,34.53,false,2:27.493
27,10,129.121,42.323,52.406,34.392,false,2:09.121
77,14,116.835,31.945,53.499,31.391,false,1:56.834
81,13,166.237,65.618,62.726,37.893,true,2:46.236
14,15,97.155,28.142,41.533,27.48,false,1:37.155
63,14,94.065,27.538,39.906,26.621,false,1:34.064
55,12,93.944,27.472,39.685,26.787,false,1:33.944
24,13,110.266,27.855,49.665,32.746,false,1:50.266
44,11,94.155,27.545,39.941,26.669,false,1:34.155
16,14,152.054,42.96,71.778,37.316,false,2:32.054
40,15,95.465,27.937,40.354,27.174,false,1:35.465
11,13,150.199,41.168,69.857,39.174,false,2:30.199
4,13,93.522,27.373,39.527,26.622,false,1:33.522
2,13,170.991,57.982,68.235,44.774,true,2:50.991
1,11,151.084,54.532,64.031,32.521,false,2:31.084
22,15,149.27,49.801,63.579,35.89,false,2:29.270
10,14,94.721,27.96,39.812,26.949,false,1:34.721
31,13,786.515,,55.515,37.107,true,13:06.514
18,13,113.953,27.851,45.432,40.67,false,1:53.953
14,16,111.624,30.358,43.068,38.198,false,1:51.623
63,15,188.122,53.019,78.135,56.968,false,3:08.122
77,15,95.199,27.835,40.343,27.021,false,1:35.198
55,13,160.681,41.999,68.367,50.315,false,2:40.681
27,11,95.088,27.884,40.125,27.079,false,1:35.087
44,12,196.48,56.693,81.631,58.156,false,3:16.479
24,14,95.456,27.947,40.437,27.072,false,1:35.456
20,12,94.887,27.714,40.098,27.075,false,1:34.887
40,16,156.184,47.916,64.64,43.628,false,2:36.183
